# swp_version: 0.1.0
# swp_git_commit: 5bd8c717c95bebc32a1c25562763a2ad57f6c3f4
# swp_git_branch: review-followup
# swp_git_dirty: 83 modified: README.md, configs/passive.yaml, docs/HANDOFF.md, docs/low_snr_extraction_sweep.md, docs/passive_search.md, docs/phantom_parameter_sweep.md, scripts/ablation.py -> scripts/archive/ablation.py, scripts/aperture_trend.py -> scripts/archive/aperture_trend.py, scripts/caenen_analyze.py -> scripts/archive/caenen_analyze.py, scripts/caenen_methods.py -> scripts/archive/caenen_methods.py, ... (+73)
# swp_git_diff_sha256: aea29eae4ecf8823b49ef99d53c5b3a999200a6732f6369114a0bc647cc607e4
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T09:51:10+00:00
# keras_backend: torch
# command: invivo_recipe_contrast.py
# config_sha256: 1952ebd3ff4ddf5c18c73ae4bf8ccbfc8d188ee7f241834779391fcc0bf5e10f
dataset,push,recipe,oc_push,oc_nopush,sym_push,sym_nopush,amp_push,amp_nopush,d_oc,log2_amp
iv0804_30V,m6,caenen_cont,0.6951669033354562,0.683791855209359,0.4457117063686133,0.5088229743483904,0.010624695444112707,0.01609628381592107,0.011375048126097131,-0.5993061615125111
iv0804_30V,m6,caenen_cont_gian,0.6935800679807779,0.6842431743965106,0.423757938087922,0.5144499866451212,0.01010856380418244,0.01592340791607915,0.009336893584267258,-0.6555710956434314
iv0804_30V,m7,current,0.817415835198004,0.7920519255264239,0.02058790979862555,0.09386395422214153,6.017774491831943e-08,3.7173079694258684e-08,0.025363909671580087,0.6949718278559824
iv0804_30V,m7,f2f_current,0.8280671083953071,0.9019254225604418,0.4727763731187267,0.3752672250213277,0.00021365805712978127,8.915905054278708e-05,-0.07385831416513478,1.2608505641526422
iv0804_30V,m7,caenen,0.5757991638360195,0.6120121170087393,0.4916141143425513,0.36194812135158494,0.0005059196574632026,0.0003945995701367096,-0.036212953172719775,0.35851891158183324
iv0804_30V,m7,caenen_dir,0.6701636854994607,0.8021074201157988,-0.12112629126114978,0.06212686825184817,0.00018861024497694913,0.00010960183784028909,-0.13194373461633813,0.7831360527054768
iv0804_30V,m7,caenen_cont,0.884441206302099,0.7181170958368358,-0.1034473672955745,0.4817125308183753,0.0002077977807294491,0.0001057354368797775,0.1663241104652632,0.9747212742046132
iv0804_30V,m7,caenen_cont_gian,0.8862033369531302,0.7173108820641328,-0.1247167668078119,0.4793752055129259,0.00020277906631322796,0.00010517306038172735,0.1688924548889974,0.9471435129597064
iv0804_30V,m8,current,0.892314876989199,0.6231997161347048,0.5864792179183478,0.895313647304239,9.428378003919798e-06,3.1347453364280713e-06,0.26911516085449416,1.5886613558022773
iv0804_30V,m8,f2f_current,0.5804858772881418,0.8412937883459828,0.40246428752003316,0.29780622614145913,0.000737744376591351,0.0009307813508792154,-0.26080791105784096,-0.3353212863674168
iv0804_30V,m8,caenen,0.5230557769629832,0.6607750644734256,-0.1739308278641262,0.5160774126912627,0.001890967032770822,0.0022553262051875768,-0.13771928751044238,-0.2542119051827599
iv0804_30V,m8,caenen_dir,0.5433481510423559,0.7030008632422624,0.612404414723502,0.5026983698273496,0.0007189606583031317,0.0008122223157510201,-0.1596527121999065,-0.1759618375402172
