# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 9 modified: .gitignore, configs/passive.yaml, docs/TODO.md, docs/review_followup_2026-09-24.md, report/README.md, study/analysis/field_stage4.py, study/analysis/manual_slope.py, study/analysis/passive_methods_atlas.py, study/analysis/score_panels.py
# swp_git_diff_sha256: 0e27e4212c1e2699007754a9fd030906bb557b7b5446f98bdb684fd939e3f673
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T15:17:07+00:00
# keras_backend: torch
# command: passive_atlas_all15.py --lines b3to4 --sets v2
# config_sha256: 81dc8c278c2eb5c48e70b417179ec66d0d8f9c667b1e181c928f0ecda77f7ffc
line,set,family,recipe,clear,plausible,guess_none,separation,n
b3,v2,mline,3 lines x 0.5 mm,2.2015639163354033,2.172517091012264,1.542969171446437,0.6585947448889662,15
b3,v2,mline,5 lines x 0.5 mm (default),2.2463130863161522,2.1737661778510846,1.6049767205247434,0.6413363657914088,15
b3,v2,mline,9 lines x 0.5 mm,2.3487401023169365,2.095370530693056,1.6557790515024493,0.6929610508144872,15
b3,v2,mline,9 lines x 0.8 mm,2.4415961358007534,2.1641059002070198,1.6445168919563518,0.7970792438444017,15
b3,v2,mline,15 lines x 0.5 mm,2.4435102959512776,2.194706235088118,1.6398102943007977,0.8037000016504798,15
b3,v2,mline,15 lines x 0.8 mm,2.468417825185197,2.346481721667734,1.7667975732551353,0.7016202519300618,15
b3,v2,combined,"none: no spatial, no temporal, 1 line",1.5267546403183534,1.308963703969165,1.0528728893609172,0.47388175095743623,15
b3,v2,combined,"light: Gauss 0.3 x 0.6, mean 3, 3 lines",1.9285637222636058,1.9007494187208613,1.2967379012735827,0.6318258209900232,15
b3,v2,combined,"default: Gauss 0.6 x 1.2, mean 3, 5 lines",2.2463130863161522,2.1737661778510846,1.6049767205247434,0.6413363657914088,15
b3,v2,combined,"medium: Gauss 1.0 x 2.0, mean 5, 9 lines",2.426390539512452,2.204822768984722,1.771075328269393,0.6553152112430591,15
b3,v2,combined,"heavy: Gauss 2.0 x 4.0, mean 9, 15 lines",2.443712396087845,2.349975889146609,1.799584552160193,0.6441278439276519,15
b3,v2,svd,no SVD (default),2.2463130863161522,2.1737661778510846,1.6049767205247434,0.6413363657914088,15
b3,v2,svd,"IQ SVD, 1 component removed",2.300039634818784,2.10209720459367,1.7452996609685365,0.5547399738502476,15
b3,v2,svd,"IQ SVD, 2 components removed",2.167686533851101,2.067373798447493,1.692691022281737,0.4749955115693638,15
b3,v2,svd,"IQ SVD, 3 components removed",2.1732681297930645,2.044623953834189,1.767210071676238,0.4060580581168265,15
b3,v2,svd,"velocity-field SVD, 1 component",2.3328280931228433,2.1468347152659715,1.6279282862070004,0.704899806915843,15
b3,v2,svd,IQ SVD 2 + low-pass 150 only (SVD as motion filter),1.5708655266805343,1.6534913150772865,1.7860086191816436,-0.2151430925011093,15
b3,v2,cfwi,"velocity 15-150 (default, reference)",2.2463130863161522,2.1737661778510846,1.6049767205247434,0.6413363657914088,15
b3,v2,cfwi,CFWI 1 cm/s,1.9604862812930672,1.661836393016275,1.3810049367204869,0.5794813445725804,15
b3,v2,cfwi,CFWI 2 cm/s (Espeland),1.855961079965565,1.965348751237754,1.8670486057911062,-0.011087525825541178,15
b3,v2,cfwi,CFWI 3 cm/s,1.7259368213413662,1.9669110626873083,1.777720930048098,-0.05178410870673189,15
b3,v2,cfwi,CFWI 4 cm/s,1.4904048903946783,1.734376309417357,1.6700634949608508,-0.17965860456617255,15
b3,v2,cfwi,CFWI 2 cm/s + band-pass 15-150,3.876221284087019,3.7890085567727887,3.609416263786639,0.2668050203003798,15
b3to4,v1,quantity,displacement,nan,nan,nan,nan,0
b3to4,v1,quantity,velocity,nan,nan,nan,nan,0
b3to4,v1,quantity,acceleration,nan,nan,nan,nan,0
b3to4,v1,band_displacement,5-150 Hz,nan,nan,nan,nan,0
b3to4,v1,band_displacement,10-150 Hz,nan,nan,nan,nan,0
b3to4,v1,band_displacement,15-100 Hz,nan,nan,nan,nan,0
b3to4,v1,band_displacement,15-90 Hz,nan,nan,nan,nan,0
b3to4,v1,band_displacement,8-45 Hz,nan,nan,nan,nan,0
b3to4,v1,band_displacement,30-150 Hz,nan,nan,nan,nan,0
b3to4,v1,band_velocity,5-150 Hz,nan,nan,nan,nan,0
b3to4,v1,band_velocity,10-150 Hz,nan,nan,nan,nan,0
b3to4,v1,band_velocity,15-100 Hz,nan,nan,nan,nan,0
b3to4,v1,band_velocity,15-90 Hz,nan,nan,nan,nan,0
b3to4,v1,band_velocity,8-45 Hz,nan,nan,nan,nan,0
b3to4,v1,band_velocity,30-150 Hz,nan,nan,nan,nan,0
b3to4,v1,directional,"displacement, none",nan,nan,nan,nan,0
b3to4,v1,directional,"displacement, keep toward low r",nan,nan,nan,nan,0
b3to4,v1,directional,"displacement, keep toward high r",nan,nan,nan,nan,0
b3to4,v1,directional,"velocity, none",nan,nan,nan,nan,0
b3to4,v1,directional,"velocity, keep toward low r",nan,nan,nan,nan,0
b3to4,v1,directional,"velocity, keep toward high r",nan,nan,nan,nan,0
b3to4,v1,spatial,none,nan,nan,nan,nan,0
b3to4,v1,spatial,Gaussian 0.6 x 1.2 mm (view A),nan,nan,nan,nan,0
b3to4,v1,spatial,Gaussian 1.0 x 2.0 mm,nan,nan,nan,nan,0
b3to4,v1,spatial,Gaussian 2.0 x 4.0 mm,nan,nan,nan,nan,0
b3to4,v1,spatial,median 1.0 x 2.0 mm,nan,nan,nan,nan,0
b3to4,v1,temporal,none,nan,nan,nan,nan,0
